번호,대여소명,거치대,구,주소,위도,경도,구역,인터넷,CCTV,거치대,구조
200,지족역 2번출구(건너편),13,유성구,지족동 840-2,36.383723,127.320175,7구역,,,평면,일자형
201,노은3동주민센터,13,유성구,지족동 1024-2,36.386848,127.308372,7구역,,,평면,일자형
202,도안초등학교,11,서구,도안동 1364,36.320531,127.344013,3구역,,,평면,일자형
203,죽동 금성백조,13,유성구,죽동 108-4,36.368808,127.336889,7구역,,,평면,일자형
204,낭월 오투그란데(108동 맞은편),14,동구,낭월동 215-2,36.285012,127.465722,5구역,,,평면,일자형
205,대성삼거리,14,동구,대성동 200-4,36.294851,127.460853,5구역,,,평면,일자형
206,대전대 후문,15,동구,용운동 631,36.335207,127.456495,6구역,,,평면,일자형
207,가양초등학교,15,동구,가양동 288-6,36.343527,127.442254,6구역,,,평면,일자형
208,회덕농협(건너편),15,대덕구,읍내동 573-4,36.378989,127.42678,6구역,,,평면,일자형
209,동부평생교육원,15,대덕구,법동 440-1,36.374369,127.428083,6구역,무선,,평면,일자형
210,읍내동우편취급국,12,대덕구,읍내 215-5,36.37845,127.42132,6구역,,,평면,일자형
211,석봉문화센터,15,대덕구,석봉동 184-1,36.447408,127.426423,7구역,무선,,평면,일자형
212,대덕구보건소네거리(드림마트),13,대덕구,덕암동 12-1,36.444066,127.425524,7구역,,,평면,일자형
213,송림네거리,14,유성구,하기동 516,36.387805,127.321661,7구역,,,평면,일자형
214,외삼네거리(603동),15,유성구,반석동 613,36.395302,127.309877,7구역,,,평면,일자형
215,지족초등학교,15,유성구,지족동 853,36.379658,127.317772,7구역,,,평면,일자형
216,건양대학교병원,15,서구,관저동 1900,36.306014,127.34086,3구역,,,평면,일자형
217,초록마을아파트3단지,15,서구,복수동 613,36.300538,127.37889,4구역,무선,,평면,십일자형
218,충대병원입구(건너편),15,중구,대사동 248-29,36.31819,127.41697,4구역,,,평면,일자형
219,문화초등학교네거리,10,중구,유천동 168-8,36.31309,127.39943,4구역,,,평면,일자형
220,머티네거리,15,중구,산성동 160-9,36.309576,127.388099,4구역,,,평면,일자형
221,갈마중학교(서부장로교회),15,서구,갈마동 338-1,36.34912,127.368355,2구역,,,평면,일자형
222,갈마아파트 한마음동산,15,서구,갈마동 392-6,36.344257,127.368008,2구역,,,평면,일자형
